category,rate,name,address,url,price_range
"Men's Clothing,Bespoke Clothing,Formal Wear",5.0 star rating,enzo,,/biz/enzo-custom-new-york-2,$$
"Shoe Stores,Leather Goods",4.0 star rating,prada,,/biz/prada-broadway-new-york,$$$$
Women's Clothing,4.0 star rating,chanel,,/biz/chanel-new-york-3,$$$$
"Men's Clothing,Women's Clothing",3.5 star rating,h&m,,/biz/h-and-m-new-york-5,$$
